Period,Service Channel Type,State,sa4_code,sa3_code,sa2_code,Suburb,Lat,Lon,ra_code
30/06/2024,Bank@Post,ACT,Australian Capital Territory,Gungahlin,Mitchell,Mitchell (ACT),-35.218817,149.144761,Major Cities of Australia
30/06/2024,Bank@Post,ACT,Australian Capital Territory,Gungahlin,Mitchell,Mitchell (ACT),-35.21025,149.14392,Major Cities of Australia
30/06/2024,Bank@Post,ACT,Australian Capital Territory,North Canberra,Ainslie,Ainslie,-35.262434,149.145082,Major Cities of Australia
30/06/2024,Bank@Post,ACT,Australian Capital Territory,North Canberra,Braddon,Braddon,-35.274033,149.13153,Major Cities of Australia
30/06/2024,Bank@Post,ACT,Australian Capital Territory,North Canberra,Campbell,Campbell,-35.28928832,149.1542343,Major Cities of Australia
30/06/2024,Bank@Post,ACT,Australian Capital Territory,North Canberra,Civic,City,-35.278137,149.128346,Major Cities of Australia
30/06/2024,Bank@Post,ACT,Australian Capital Territory,North Canberra,Dickson,Dickson,-35.250009,149.139622,Major Cities of Australia
30/06/2024,Bank@Post,ACT,Australian Capital Territory,North Canberra,O'Connor (ACT),O'Connor (ACT),-35.263976,149.122623,Major Cities of Australia
30/06/2024,Bank@Post,ACT,Australian Capital Territory,South Canberra,Deakin,Deakin,-35.31593397,149.0974621,Major Cities of Australia
30/06/2024,Bank@Post,ACT,Australian Capital Territory,South Canberra,Deakin,Deakin,-35.315067,149.107966,Major Cities of Australia
30/06/2024,Bank@Post,ACT,Australian Capital Territory,South Canberra,Fyshwick,Fyshwick,-35.32822,149.183102,Major Cities of Australia
